,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
54,namelessk,account.893e4489063744aaab1b9f47c71b8815,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,394.35703,5.0,11.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
55,welcomejun,account.fdad253e33554c3d8093b0ae0dcd6420,1.0,0.0,0.0,99.99999,byplayer,0.0,0.0,27.0,1.0,1.0,18.29789,0.0,0.0,0.0,0.0,0.0,101.0,0.0,41.406105,3.0,30.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
56,jjanggoo83,account.93b422d4179344cba40d6459cbf276c0,1.0,0.0,5.0,680.6288,byplayer,2.0,3.0,2.0,2.0,6.0,191.92691,1.0,0.0,0.0,0.0,0.0,974.0,0.0,1594.259,3.0,3.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
57,gkwns5919,account.6d4fee17395c44ce979da6e35c230af3,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,3.868862,0.0,32.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
58,dntjqWkd,account.751ba279673e420086de4015014ecd19,1.0,0.0,0.0,313.64877,byplayer,0.0,0.0,14.0,2.0,2.0,43.885094,0.0,0.0,0.0,0.0,0.0,261.0,0.0,147.58804,2.0,22.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
59,show3459a,account.b6a45e76357f4f70b72be56f4efa44ee,1.0,0.0,0.0,100.0,byplayer,0.0,0.0,24.0,1.0,1.0,59.29475,0.0,0.0,0.0,0.0,0.0,195.0,0.0,257.85812,2.0,25.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
60,Berynie,account.840d28236c3b4bd2aba9b1e2baa92ef0,0.0,0.0,2.0,0.0,byplayer,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,1109.0815,5.0,5.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
61,baaaaaaaaaamm,account.a1e75a4f0ac64b3eb4bcc6cdf20233d9,1.0,0.0,3.0,100.0,byplayer,0.0,0.0,17.0,1.0,1.0,87.22703,0.0,0.0,0.0,0.0,0.0,671.0,0.0,906.3766,2.0,4.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
62,enlteka4,account.5913bfde3fb348f09252259eba14204c,0.0,0.0,1.0,43.099777,byplayer,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,0.0,669.4114,5.0,8.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
63,Baekyongwoo-,account.cd7a9ef357794aa8858069a444a9cc23,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,920.08374,2.0,7.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
